Rating,Title,Price,Nook,Audio,Hardcover,Publisher,Published date,Until 1206,Pages,Number of reviews,African American History,Americas - Travel Essays & Descriptions,Astronomy,Education Biography,Ethnic & Minority Studies - United States,Europe - Travel Essays & Descriptions,Historical Biography - United States,Latinos/Hispanics - Biography,Politics & Government - General & Miscellaneous,Religious Biography,School Guides & Test Preparation,Science - General & Miscellaneous,Television,United States History - African American History,"Educational Theory, Research & History",Espionage,General Reference,Health - Diseases & Disorders,Political Theory & Ideology,U.S. Politics - History,Children - Biography,Computer Business & Culture,Dogs,Education - Social & Political Aspects,Emotional Healing,Jewish History,Music Biography,Parapsychology,"Photography - History, Criticism, & Collections",Teaching & Teacher Training,United States History - 19th Century - General & Miscellaneous,Business - General & Miscellaneous,Family & School,Psychological Self-Help,Strategy & Weapons of War,Travel - General & Miscellaneous,U.S. Cooking,Biology & Life Sciences,Cooking for Special Diets,Decorating,Educational Settings,Reference - Medicine,"Sewing, Quilting & Textile Arts",Sports - General & Miscellaneous,United States History - General & Miscellaneous,Film Biographies & Interviews,Football & Rugby,House & Home,Japanese History,Peoples & Cultures - Biography,Roman Catholicism,Historical Biography,Pets,Business Life & Skills,Gardening,General & Miscellaneous World History,Travel Essays & Descriptions,True Crime,African Americans - General & Miscellaneous,Aviation - Military,Baseball & Softball,Health,"Legal Figures, Law Enforcers, & Criminals",Outdoor & Adventure Sports,Scientists - Biography,"Scientists, Inventors, & Naturalists",American Fiction,Christian Biography,Clinical Medicine,Medical Figures,Fiction & Literature Classics,Needlework & Fiber Arts,Basketball,Business Biography,Comedy,Diet & Nutrition,US & Canadian Literary Biography,United States History - 20th Century - Wars & Conflict,Americans - Regional Biography,U.S. Armed Forces - Biography,Inspiration,"Psychology - Theory, History & Research",Social Sciences - General & Miscellaneous,General & Miscellaneous Crafts & Hobbies,Comics & Graphic Novels,Television Biography,General & Miscellaneous Cooking,Teens - Biography,General & Miscellaneous Religion,Military Biography,Patient Narratives,U.S. Politics in the Post Cold-War Era,United States History - 20th Century - 1945 to 2000,African American Biography,African American Biography & Memoir,Nature,United States Studies,Family - Assorted Topics,General & Miscellaneous Military History,World War II,Peoples & Cultures - Fiction,Executive Branch,General Christianity,Religious Inspiration,World Literature,U.S. - Political Biography,United States Armed Forces,Christian Life,Family Memoirs - Biography,Entertainment Biography,Children - Fiction & Literature,General & Miscellaneous Biography,Bibles & Bible Studies,Sports & Adventure Biography,Personal Growth,Humor,Science Fiction & Fantasy,Romance,Women's Biography,Teen Fiction,Mystery & Crime,Fiction Subjects
4.5,The Laws of Murder (Charles Lenox Series #8),17.68,1,1,1,216,11/11/2014,25,304,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.5,MacBook For Dummies,15.91,1,0,0,252,7/21/2014,138,432,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,Make It Ahead: A Barefoot Contessa Cookbook,21,1,1,0,57,10/28/2014,39,272,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,"House of Outrageous Fortune: Fifteen Central Park West, the World's Most Powerful Address",23.94,1,1,0,17,3/11/2014,270,416,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,14.68,1,1,1,107,9/2/2014,95,320,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,It Starts With Food CookBook: The Low Sugar Gluten-Free & Whole Food CookBook - 40 Delicious & Healthy Recipes Your Family Will Love,5.92,0,0,0,54,5/24/2013,561,112,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,The Scorch Trials (Maze Runner Series #2),9.99,1,1,1,181,9/13/2011,1180,384,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.5,The Giving Tree,11.17,1,1,0,98,10/7/1964,18322,64,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Understanding Wood: A Craftsman's Guide to Wood Technology,29.1,0,0,0,223,10/28/2000,5152,288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,The Catholic Women's Devotional Bible: New Revised Standard Version (NRSV),19.43,0,1,0,258,9/1/2000,5209,1824,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
