Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
"Unbroken: A World War II Story of Survival, Resilience, and Redemption"	Laura Hillenbrand	9.87	TRUE	TRUE	TRUE	"[u'Japanese History', u'United States History - 20th Century - Wars & Conflict', u'Military Biography', u'General & Miscellaneous Military History', u'United States Armed Forces', u'World War II', u'Aviation - Military']"	Random House Publishing Group	7/29/14	528	4702	4.5
Not My Father's Son: A Memoir	Alan Cumming	16.88	TRUE	TRUE	TRUE	"[u'Film Biographies & Interviews', u'Entertainment Biography', u'Family Memoirs - Biography']"	HarperCollins Publishers	10/7/14	304	7	5
The Young Elites	Marie Lu	11.54	TRUE	TRUE	TRUE	[u'Teen Fiction']	Penguin Young Readers Group	10/7/14	368	15	4
How Google Works	Eric Schmidt	17.99	TRUE	TRUE	TRUE	"[u'E-Commerce', u'Computer Business & Culture', u'Technology Industries', u'Management & Leadership']"	Grand Central Publishing	9/23/14	304	2	5
The Twelve Tribes of Hattie	Ayana Mathis	13.21	TRUE	TRUE	TRUE	"[u'American Fiction', u'World Literature', u'Fiction Subjects', u'Peoples & Cultures - Fiction']"	Knopf Doubleday Publishing Group	10/8/13	320	268	3.5
"Akiane: Her Life, Her Art, Her Poetry"	Akiane Kramarik	15.21	TRUE	TRUE	TRUE	"[u'Poetry - Assorted Topics', u'Family Memoirs - Biography', u'Christian Biography']"	"Nelson, Thomas, Inc."	4/4/06	144	43	4
Uganda Be Kidding Me	Chelsea Handler	18.63	TRUE	TRUE	TRUE	"[u'Humor', u'Entertainment Biography', u""Women's Biography"", u'Travel - General & Miscellaneous', u'Comedy', u""Women's Biography""]"	Grand Central Publishing	3/4/14	272	77	4
Early Decision: A Novel	Lacy Crawford	12.12	TRUE	FALSE	FALSE	"[u'Education - Social & Political Aspects', u""Women's Biography"", u'Education Biography', u'Educational Guidance & Counseling', u""Women's Biography""]"	HarperCollins Publishers	8/26/14	320	11	3.5
"Rebel Yell: The Violence, Passion, and Redemption of Stonewall Jackson"	S. C. Gwynne	23.83	TRUE	TRUE	TRUE	"[u'United States History - 19th Century - Civil War', u'United States History - 19th Century - General & Miscellaneous', u'U.S. Armed Forces - Biography', u'Historical Biography - United States']"	Scribner	9/30/14	688	6	3.5
The Casual Vacancy	J. K. Rowling	8.5	TRUE	TRUE	TRUE	"[u'World Literature', u'Fiction Subjects']"	"Little, Brown and Company"	9/30/14	656	1138	3
Inquebrantable (Unbroken)	Laura Hillenbrand	16.55	TRUE	FALSE	FALSE	"[u'Japanese History', u'United States History - 20th Century - Wars & Conflict', u'Military Biography', u'General & Miscellaneous Military History', u'United States Armed Forces', u'World War II', u'Aviation - Military']"	Santillana USA Publishing Company	10/30/11	583	2	5
Worthy Fights: A Memoir of Leadership in War and Peace	Leon Panetta	22.03	TRUE	TRUE	TRUE	"[u'Executive Branch', u'U.S. - Political Biography', u'Military Biography', u'Espionage']"	Penguin Group (USA)	10/7/14	512	13	4
Three Cups of Tea: One Man's Mission to Promote Peace...One School at a Time	Greg Mortenson	11.09	TRUE	TRUE	TRUE	"[u'Education - General & Miscellaneous', u'Children - Social Studies', u'Asian & Asian American Studies', u'Outdoor & Adventure Sports', u'General Reference', u'Education Biography', u'Fiction Subjects', u'Social Work & Human Services', u'General & Miscellaneous Biography', u'Public Health & Safety', u'Politics & Government - General & Miscellaneous', u'Ecology & Environmental Sciences', u'Environmental Conservation & Protection']"	Viking Penguin	1/30/07	349	985	4
The Good Earth	Pearl S. Buck	10.68	TRUE	TRUE	TRUE	"[u'Fiction & Literature Classics', u'American Fiction', u'World Literature', u'Fiction Subjects', u'Peoples & Cultures - Fiction']"	Washington Square Press	9/15/04	368	263	4.5
Fear Nothing (Detective D.D. Warren Series #7) (Signed Book)	Lisa Gardner	26.97	TRUE	TRUE	TRUE	[u'Mystery & Crime']	Penguin Group (USA)	1/7/14	400	137	4.5
